,update,merit,gestation,fitness,repro_rate,dep_size,copied_size,executed_size,dep_abundance,prop_birth,breed_true,dep_depth,generation,neutral,label,true_rep_rate,not,nand,and,orn,or,andn,nor,xor,equ,resnot,resand,resor,resnor,resnand,resorn,resandn,resxor,resequ,safe,inst_executed,popsize,genotypecount,thresholdgenotypes,numspecies,numthresholdspecies,numlineages,numbirths,numdeaths,numbreedtrue,numbreedtrue2,numnobirth,numsinglethreaded,nummultithreaded,nummodified,uniquephenotypetask,shannondiv,uniquephenotypecount,avgshannondiv,avgtaskdiv,seed,condition,patches,killed,ecology
157175,100000,1838.87,789.579,2.3305,0,0,108.434,103.964,0,0.026333600000000002,0.026333600000000002,0,3746.2,16.4757,0,1.54395,1417.0,979.0,1179.0,804.0,1399.0,1481.0,502.0,979.0,979.0,6.738060000000001,5.20465,8.46547,7.86495,5.5466,4.2545,12.7542,5.8766099999999994,5.32386,9000.0,43350.0,1481.0,41.0,41.0,0.0,0.0,0.0,39.0,33.0,39.0,1481.0,541.0,1481.0,0.0,0.0,6.0,1.9845099999999998,26.0,2.642,6.56168,9340,test_command_results/100_patches_3_cells_200_killed_ecology-pop8_9340/data,100,200,Y
157276,100000,76000500.0,2452.47,29678.3,0,0,176.611,171.582,0,0.012962999999999999,0.012962999999999999,0,1094.96,-4.09879,0,24377.3,1023.0,335.0,1034.0,981.0,572.0,1034.0,1034.0,1034.0,1034.0,21.3916,62.9806,22.448,20.5982,43.0812,18.4251,25.0973,27.0243,21.1305,9000.0,32070.0,1080.0,112.0,76.0,0.0,0.0,0.0,14.0,17.0,14.0,1071.0,285.0,1080.0,0.0,0.0,6.0,1.9828700000000001,31.0,2.6857599999999997,7.4774899999999995,9322,test_command_results/100_patches_3_cells_200_killed_ecology-pop7_9322/data,100,200,Y
157377,100000,4.54463e+38,14846.6,2.98725e+34,0,0,820.362,623.56,0,0.00110742,0.0,0,1826.41,4.418159999999999,0,2.0700500000000003e+51,887.0,563.0,3.0,843.0,857.0,290.0,298.0,539.0,534.0,121.696,212.908,994.992,129.428,129.866,237.174,238.27599999999998,222.87099999999998,222.982,930.0,27060.0,903.0,860.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,128.0,442.0,903.0,0.0,0.0,21.0,1.67913,74.0,2.35133,5.331119999999999,10012,test_command_results/1_patches_30_cells_100_killed-pop1_10012/data,1,100,N
157478,100000,12638900.0,2095.76,5924.21,0,0,120.647,116.064,0,0.0137931,0.0137931,0,1195.63,-3.9521699999999997,0,4506.34,496.0,528.0,530.0,862.0,644.0,667.0,528.0,464.0,810.0,29.5942,73.6254,26.6995,17.1101,34.4055,21.244,27.1283,31.5971,16.6503,9000.0,30060.0,1015.0,97.0,83.0,0.0,0.0,0.0,14.0,13.0,14.0,1015.0,210.0,1015.0,0.0,0.0,9.0,2.51143,17.0,2.32023,5.44367,9506,test_command_results/100_patches_3_cells_300_killed_ecology-pop6_9506/data,100,300,Y
157668,100000,5543180.0,2137.17,2563.2,0,0,120.87899999999999,116.02799999999999,0,0.0053286,0.0053286,0,1224.33,-2.17761,0,1994.9,596.0,650.0,573.0,956.0,782.0,812.0,650.0,470.0,875.0,18.6062,66.0833,24.6894,14.3892,28.7303,14.4331,16.5674,46.6104,15.6994,9000.0,33630.0,1126.0,85.0,78.0,0.0,0.0,0.0,6.0,11.0,6.0,1126.0,298.0,1126.0,0.0,0.0,11.0,2.64148,24.0,2.3877599999999997,5.6550199999999995,9307,test_command_results/100_patches_3_cells_200_killed_ecology-pop6_9307/data,100,200,Y
157769,100000,2993.72,798.48,3.7538400000000003,0,0,108.0,104.147,0,0.0608696,0.0608696,0,3813.04,-45.0788,0,2.61267,1380.0,1380.0,918.0,1380.0,1127.0,462.0,715.0,918.0,918.0,6.03705,6.0235,7.08799,4.24406,10.1169,9.44675,6.695939999999999,9.64224,7.6866699999999994,930.0,40800.0,1380.0,3.0,3.0,0.0,0.0,0.0,84.0,80.0,84.0,1380.0,715.0,1380.0,0.0,0.0,3.0,1.48109,3.0,2.6656400000000002,6.664219999999999,10144,test_command_results/1_patches_30_cells_100_killed_ecology-pop8_10144/data,1,100,Y
157847,100000,210680000.0,2211.57,82077.6,0,0,176.533,171.986,0,0.014013999999999999,0.014013999999999999,0,1084.8,-2.19068,0,1098390000.0,851.0,329.0,861.0,843.0,477.0,861.0,861.0,861.0,861.0,25.1599,44.5341,25.4647,24.3494,27.4307,16.1243,21.6115,21.1944,18.9696,9000.0,29550.0,999.0,190.0,101.0,0.0,0.0,0.0,14.0,9.0,14.0,990.0,284.0,999.0,0.0,0.0,6.0,2.02617,21.0,2.41193,6.803030000000001,9523,test_command_results/100_patches_3_cells_300_killed_ecology-pop7_9523/data,100,300,Y
157948,100000,66630900.0,2109.09,31015.1,0,0,121.022,114.74700000000001,0,0.0177824,0.00941423,0,1791.21,-29.7157,0,20703.5,582.0,567.0,550.0,578.0,469.0,565.0,758.0,336.0,745.0,23.6247,26.413,41.1771,23.6186,31.6707,24.0021,22.3532,57.4628,24.0698,930.0,28470.0,956.0,377.0,96.0,0.0,0.0,0.0,17.0,10.0,9.0,693.0,482.0,956.0,0.0,0.0,38.0,2.49503,68.0,2.29723,5.38703,10310,test_command_results/1_patches_30_cells_200_killed-pop6_10310/data,1,200,N
158049,100000,17863800.0,2102.72,8479.57,0,0,120.75,115.75,0,0.00737619,0.00737619,0,1669.5,10.7319,0,6857.66,522.0,611.0,522.0,611.0,338.0,522.0,949.0,427.0,949.0,24.0676,73.1402,99.9671,19.753,37.744,24.1304,14.4461,33.671,17.1178,930.0,28470.0,949.0,3.0,3.0,0.0,0.0,0.0,7.0,10.0,7.0,949.0,459.0,949.0,0.0,0.0,3.0,1.3251700000000002,3.0,2.39716,5.7463,10701,test_command_results/1_patches_30_cells_400_killed_ecology-pop6_10701/data,1,400,Y
158150,100000,160993000.0,2534.88,63504.2,0,0,178.122,173.122,0,0.0163099,0.0163099,0,1305.09,-22.4769,0,56207.1,981.0,981.0,287.0,981.0,981.0,981.0,981.0,981.0,981.0,32.2027,32.6014,41.1058,19.3388,29.1467,25.9666,28.7944,30.7951,18.3674,930.0,29310.0,981.0,2.0,2.0,0.0,0.0,0.0,16.0,14.0,16.0,981.0,494.0,981.0,0.0,0.0,2.0,0.8701549999999999,2.0,2.91125,8.29111,10124,test_command_results/1_patches_30_cells_100_killed_ecology-pop7_10124/data,1,100,Y
158251,100000,42424.8,1128.77,35.363,0,0,128.167,123.64299999999999,0,0.017621099999999997,0.0132159,0,3098.69,-2.4626200000000003,0,30.908,298.0,650.0,941.0,632.0,979.0,935.0,930.0,321.0,602.0,26.6578,12.0038,7.91943,11.1448,8.1948,8.42597,8.00808,24.6795,11.2797,9000.0,33540.0,1135.0,548.0,229.0,0.0,0.0,0.0,20.0,16.0,15.0,760.0,292.0,1135.0,0.0,0.0,80.0,4.83855,175.0,2.36096,5.53565,9475,test_command_results/100_patches_3_cells_300_killed-pop4_9475/data,100,300,N
158343,100000,1244710.0,1283.93,949.93,0,0,239.142,217.56099999999998,0,0.021627200000000003,0.0113285,0,2989.83,60.0371,0,670.689,945.0,951.0,938.0,949.0,897.0,939.0,896.0,899.0,911.0,12.2971,12.1893,12.3005,12.6647,13.0264,12.389000000000001,13.059000000000001,13.1126,12.8461,930.0,29100.0,971.0,711.0,148.0,0.0,0.0,0.0,21.0,25.0,11.0,424.0,499.0,971.0,0.0,0.0,38.0,1.34228,79.0,3.07087,8.57143,10590,test_command_results/1_patches_30_cells_300_killed-pop10_10590/data,1,300,N
158435,100000,3.12163e+51,11040.9,2.38457e+47,0,0,659.31,462.67699999999996,0,0.00112867,0.0,0,3743.49,-26.8995,0,6.57941e+60,867.0,873.0,860.0,867.0,853.0,711.0,848.0,734.0,846.0,131.827,134.88299999999998,142.64700000000002,127.81200000000001,129.17700000000002,142.649,129.437,135.713,135.99200000000002,930.0,26580.0,886.0,874.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,451.0,886.0,0.0,0.0,20.0,1.61051,50.0,3.0009,8.41874,10370,test_command_results/1_patches_30_cells_200_killed-pop9_10370/data,1,200,N
158536,100000,27125000.0,2002.78,10392.6,0,0,353.746,301.278,0,0.00794281,0.00794281,0,898.091,-3.40237,0,8219.03,1033.0,483.0,1035.0,923.0,581.0,1034.0,498.0,451.0,583.0,13.3552,26.5076,13.0597,16.6279,37.3272,13.4166,25.2767,36.3773,21.9411,9000.0,37470.0,1259.0,448.0,179.0,0.0,0.0,0.0,10.0,7.0,10.0,1246.0,504.0,1259.0,0.0,0.0,9.0,2.45543,61.0,2.17181,5.2516,11025,test_command_results/225_patches_2_cells_100_killed_ecology-pop2_11025/data,225,100,Y
158637,100000,12696900000000.0,3525.17,3537660000.0,0,0,517.544,319.063,0,0.00831601,0.002079,0,1780.21,0.6655810000000001,0,5911640000.0,936.0,468.0,824.0,931.0,902.0,766.0,808.0,386.0,493.0,23.6862,68.2527,51.9818,32.169000000000004,27.5117,35.5449,34.2323,68.9029,62.5017,930.0,28740.0,962.0,867.0,63.0,0.0,0.0,0.0,8.0,6.0,2.0,194.0,489.0,962.0,0.0,0.0,44.0,3.15834,177.0,2.58905,6.77083,10037,test_command_results/1_patches_30_cells_100_killed-pop2_10037/data,1,100,N
158738,100000,5.248200000000001e+87,10455.1,2.7447300000000005e+83,0,0,637.85,459.66900000000004,0,0.0,0.0,0,1294.48,1.6059299999999999,0,2.8060300000000006e+86,760.0,766.0,753.0,758.0,759.0,743.0,725.0,710.0,726.0,233.257,233.857,231.43,232.06799999999998,231.797,233.77,235.584,235.58599999999998,233.882,930.0,23640.0,788.0,757.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,397.0,788.0,0.0,0.0,30.0,0.9553450000000001,68.0,3.02083,8.50254,10577,test_command_results/1_patches_30_cells_300_killed-pop9_10577/data,1,300,N
158839,100000,282679000.0,3659.73,77233.8,0,0,825.0,742.745,0,0.00212314,0.00212314,0,1154.51,-15.4419,0,71701.8,942.0,942.0,0.0,942.0,942.0,0.0,0.0,942.0,942.0,25.8306,27.5418,994.992,25.7229,25.9137,994.992,994.992,27.6499,26.7841,930.0,28230.0,942.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,942.0,449.0,942.0,0.0,0.0,1.0,0.0,1.0,2.5849599999999997,6.0,10809,test_command_results/1_patches_30_cells_500_killed_ecology-pop1_10809/data,1,500,Y
