,update,merit,gestation,fitness,repro_rate,dep_size,copied_size,executed_size,dep_abundance,prop_birth,breed_true,dep_depth,generation,neutral,label,true_rep_rate,not,nand,and,orn,or,andn,nor,xor,equ,resnot,resand,resor,resnor,resnand,resorn,resandn,resxor,resequ,safe,inst_executed,popsize,genotypecount,thresholdgenotypes,numspecies,numthresholdspecies,numlineages,numbirths,numdeaths,numbreedtrue,numbreedtrue2,numnobirth,numsinglethreaded,nummultithreaded,nummodified,uniquephenotypetask,shannondiv,uniquephenotypecount,avgshannondiv,avgtaskdiv,seed,condition,patches,killed,ecology
100,100000,1.31963e+42,14215.7,7.2001e+37,0,0,795.033,790.541,0,0.0,0.0,0,978.5830000000001,38.3559,0,4.49507e+37,761.0,761.0,0.0,761.0,761.0,761.0,761.0,0.0,761.0,145.791,145.79399999999998,994.992,150.89600000000002,148.62,150.923,148.886,994.992,148.533,930.0,22860.0,761.0,199.0,197.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,761.0,0.0,0.0,1.0,0.0,1.0,2.80735,7.0,10847,test_command_results/1_patches_30_cells_500_killed_ecology-pop3_10847/data,1,500,Y
201,100000,2273650.0,1600.35,1419.68,0,0,182.863,172.987,0,0.013800399999999999,0.013800399999999999,0,2017.13,-46.9443,0,950.0989999999999,477.0,465.0,172.0,942.0,942.0,942.0,942.0,770.0,770.0,22.1953,22.5344,55.8489,11.8694,10.6202,17.1481,10.5201,14.0904,14.194,930.0,28230.0,942.0,3.0,3.0,0.0,0.0,0.0,13.0,13.0,13.0,942.0,449.0,942.0,0.0,0.0,3.0,1.4773100000000001,3.0,2.76671,6.81722,10680,test_command_results/1_patches_30_cells_400_killed_ecology-pop5_10680/data,1,400,Y
302,100000,742018000000.0,2979.25,167910000.0,0,0,217.778,212.128,0,0.00360036,0.00270027,0,632.618,-3.79981,0,3.02183e+40,809.0,371.0,803.0,432.0,771.0,811.0,804.0,361.0,426.0,18.81,79.7542,30.4497,40.3211,18.7397,20.36,20.359,85.13600000000001,44.8222,9000.0,33210.0,1111.0,970.0,448.0,0.0,0.0,0.0,4.0,5.0,3.0,689.0,454.0,1111.0,0.0,0.0,27.0,2.04887,183.0,1.98307,5.0208,11050,test_command_results/225_patches_2_cells_100_killed-pop3_11050/data,225,100,N
403,100000,629563000.0,2146.4,241617.0,0,0,360.85400000000004,317.22700000000003,0,0.011215000000000001,0.011215000000000001,0,1072.27,-3.4154,0,184725.0,884.0,739.0,884.0,866.0,522.0,884.0,455.0,362.0,522.0,13.5175,37.8085,16.3573,17.3344,56.8492,17.1637,23.2772,42.1289,36.999,9000.0,31740.0,1070.0,201.0,31.0,0.0,0.0,0.0,12.0,11.0,12.0,1062.0,388.0,1070.0,0.0,0.0,6.0,2.04766,12.0,2.23294,5.70633,9229,test_command_results/100_patches_3_cells_200_killed_ecology-pop2_9229/data,100,200,Y
496,100000,1.36965e+30,9064.73,9.24362e+25,0,0,742.27,560.001,0,0.00111111,0.0,0,1231.55,-53.7552,0,1.0840600000000002e+72,653.0,31.0,638.0,62.0,603.0,639.0,39.0,553.0,546.0,122.12700000000001,994.447,121.83200000000001,737.7539999999999,122.352,122.154,990.398,122.35799999999999,123.08200000000001,9000.0,27000.0,900.0,849.0,136.0,0.0,0.0,0.0,1.0,2.0,0.0,375.0,343.0,900.0,0.0,0.0,23.0,1.83138,58.0,1.8023099999999999,4.1802,9219,test_command_results/100_patches_3_cells_200_killed-pop1_9219/data,100,200,N
597,100000,3.5284500000000004e+40,14353.0,2.41384e+36,0,0,778.742,571.971,0,0.00326797,0.00108932,0,1954.84,-16.8797,0,-3.15453e+39,903.0,897.0,844.0,896.0,893.0,897.0,876.0,841.0,869.0,100.61,107.764,110.859,103.40100000000001,105.32799999999999,107.49600000000001,103.223,139.391,105.579,930.0,27510.0,918.0,870.0,37.0,0.0,0.0,0.0,3.0,2.0,1.0,121.0,479.0,918.0,0.0,0.0,23.0,0.852416,303.0,3.0402400000000003,8.62309,10851,test_command_results/1_patches_30_cells_500_killed-pop3_10851/data,1,500,N
683,100000,118148.0,1029.09,117.988,0,0,217.88400000000001,205.29,0,0.0196078,0.0196078,0,3040.27,3.4885599999999997,0,74.1732,710.0,969.0,710.0,969.0,710.0,710.0,710.0,969.0,259.0,10.1323,6.862360000000001,10.4549,6.9286,10.724,10.421,10.7527,6.87045,19.867,930.0,28980.0,969.0,2.0,2.0,0.0,0.0,0.0,19.0,21.0,19.0,969.0,478.0,969.0,0.0,0.0,2.0,0.83805,2.0,2.73237,6.929460000000001,10585,test_command_results/1_patches_30_cells_300_killed_ecology-pop10_10585/data,1,300,Y
778,100000,473623000.0,1884.16,194331.0,0,0,331.402,305.26,0,0.0129741,0.0129741,0,1211.12,-5.15115,0,123425.0,796.0,391.0,804.0,771.0,458.0,804.0,442.0,338.0,466.0,13.3518,52.3157,17.6358,19.0159,60.6391,17.1304,26.7361,43.1521,35.6651,9000.0,29700.0,1002.0,201.0,32.0,0.0,0.0,0.0,13.0,10.0,13.0,1001.0,340.0,1002.0,0.0,0.0,9.0,2.51218,14.0,2.13741,5.24673,9428,test_command_results/100_patches_3_cells_300_killed_ecology-pop2_9428/data,100,300,Y
887,100000,2.01843e+23,6974.76,2.0186e+19,0,0,434.281,251.89700000000002,0,0.0,0.0,0,1013.14,4.926419999999999,0,2.2421400000000003e+100,765.0,202.0,768.0,576.0,749.0,774.0,777.0,192.0,564.0,47.1263,136.789,62.0162,123.772,87.3449,74.91,46.2556,141.85,126.181,9000.0,27930.0,931.0,809.0,328.0,0.0,0.0,0.0,0.0,2.0,0.0,378.0,282.0,931.0,0.0,0.0,29.0,1.94287,128.0,2.28717,5.76211,9253,test_command_results/100_patches_3_cells_200_killed-pop3_9253/data,100,200,N
988,100000,133820.0,1094.86,119.23299999999999,0,0,139.268,135.70600000000002,0,0.011518299999999999,0.00628272,0,3369.38,-44.0059,0,84.7884,629.0,911.0,918.0,893.0,889.0,892.0,603.0,274.0,603.0,11.5971,7.733510000000001,7.96674,8.170739999999999,8.23,8.189169999999999,11.7719,27.3572,11.2551,930.0,28530.0,955.0,544.0,174.0,0.0,0.0,0.0,11.0,8.0,6.0,604.0,476.0,955.0,0.0,0.0,37.0,2.01418,64.0,2.71442,6.92243,10878,test_command_results/1_patches_30_cells_500_killed-pop4_10878/data,1,500,N
1081,100000,2629510000.0,2328.65,1116960.0,0,0,446.267,232.56900000000002,0,0.00640342,0.00106724,0,2844.87,14.1355,0,712862.0,873.0,927.0,916.0,918.0,863.0,920.0,873.0,869.0,855.0,21.7719,18.9985,19.1377,18.7614,20.4233,18.987000000000002,20.2419,19.1634,21.1119,930.0,28080.0,937.0,784.0,105.0,0.0,0.0,0.0,6.0,6.0,1.0,292.0,488.0,937.0,0.0,0.0,32.0,1.49167,77.0,3.06854,8.55235,10798,test_command_results/1_patches_30_cells_400_killed-pop10_10798/data,1,400,N
1182,100000,171168.0,1033.42,155.415,0,0,212.334,208.053,0,0.0168599,0.0168599,0,2954.74,39.5259,0,102.00399999999999,645.0,949.0,645.0,949.0,645.0,645.0,645.0,949.0,304.0,8.97593,7.35094,8.773480000000001,7.0598,9.07121,8.81547,9.12223,6.9869,31.2675,930.0,28470.0,949.0,2.0,2.0,0.0,0.0,0.0,16.0,20.0,16.0,949.0,469.0,949.0,0.0,0.0,2.0,0.905071,2.0,2.67937,6.717460000000001,10981,test_command_results/1_patches_30_cells_500_killed_ecology-pop10_10981/data,1,500,Y
1283,100000,72432000.0,1939.29,37213.3,0,0,235.903,222.888,0,0.00527983,0.00422386,0,2134.71,-6.68462,0,26139.0,443.0,511.0,917.0,906.0,877.0,925.0,883.0,882.0,900.0,26.2655,24.1834,12.6415,14.2346,12.5994,13.8137,12.5929,14.8123,14.9123,930.0,28380.0,947.0,679.0,150.0,0.0,0.0,0.0,5.0,4.0,4.0,449.0,463.0,947.0,0.0,0.0,44.0,2.02718,150.0,2.8803799999999997,7.64942,10291,test_command_results/1_patches_30_cells_200_killed-pop5_10291/data,1,200,N
1384,100000,1556.99,1003.23,1.48258,0,0,137.77,125.275,0,0.0193196,0.011339799999999999,0,3470.82,17.8109,0,1.0702,714.0,2162.0,2132.0,1353.0,2110.0,1995.0,2119.0,696.0,1341.0,11.3692,4.593380000000001,3.59516,5.21254,3.6380800000000004,4.1575,3.6011,10.3845,5.55322,9000.0,70140.0,2381.0,1238.0,420.0,0.0,0.0,0.0,46.0,41.0,27.0,1541.0,1042.0,2381.0,0.0,0.0,75.0,3.4005,187.0,2.48578,6.13743,11079,test_command_results/225_patches_2_cells_100_killed-pop4_11079/data,225,100,N
1485,100000,1.05302e+36,7384.17,6.5739e+31,0,0,443.61800000000005,301.786,0,0.0,0.0,0,1153.66,5.9585099999999995,0,3.2290900000000007e+80,603.0,211.0,583.0,575.0,722.0,724.0,725.0,203.0,510.0,141.81,956.569,123.962,123.488,106.669,110.65799999999999,110.70700000000001,994.762,124.883,9000.0,26910.0,897.0,797.0,220.0,0.0,0.0,0.0,0.0,1.0,0.0,312.0,264.0,897.0,0.0,0.0,25.0,2.0258700000000003,110.0,2.1774299999999998,5.41183,9259,test_command_results/100_patches_3_cells_200_killed-pop3_9259/data,100,200,N
1586,100000,145983000.0,2552.54,57151.1,0,0,178.555,173.703,0,0.00317797,0.00317797,0,1316.01,-54.9587,0,31159.6,944.0,804.0,0.0,944.0,944.0,944.0,944.0,944.0,944.0,13.0488,33.6694,994.992,12.8714,14.1336,26.2149,14.3223,24.1111,16.2706,930.0,28320.0,944.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,3.0,944.0,450.0,944.0,0.0,0.0,2.0,0.6033,2.0,2.92258,7.8526,10524,test_command_results/1_patches_30_cells_300_killed_ecology-pop7_10524/data,1,300,Y
1687,100000,193038000.0,1939.64,96905.3,0,0,284.005,230.727,0,0.00639659,0.0021322,0,3264.75,-65.6531,0,76786.0,895.0,925.0,907.0,920.0,852.0,907.0,864.0,875.0,873.0,16.6154,16.2607,16.5094,15.0721,15.4645,16.3878,15.37,15.1912,20.0014,930.0,28140.0,938.0,687.0,132.0,0.0,0.0,0.0,6.0,6.0,2.0,412.0,474.0,938.0,0.0,0.0,30.0,1.3585,123.0,3.0568299999999997,8.54797,10792,test_command_results/1_patches_30_cells_400_killed-pop10_10792/data,1,400,N
1780,100000,140447000000.0,3053.92,39879500.0,0,0,186.09900000000002,179.85,0,0.00965665,0.00429185,0,1700.8,-53.468999999999994,0,26543700.0,907.0,295.0,296.0,844.0,807.0,798.0,488.0,760.0,758.0,21.656,152.387,99.8986,23.570999999999998,23.4614,26.2202,29.6752,27.2248,27.3583,930.0,27840.0,932.0,575.0,168.0,0.0,0.0,0.0,9.0,8.0,4.0,563.0,431.0,932.0,0.0,0.0,32.0,2.14086,98.0,2.4708099999999997,6.38428,10737,test_command_results/1_patches_30_cells_400_killed-pop7_10737/data,1,400,N
1881,100000,856470.0,1372.3,618.078,0,0,172.34599999999998,157.031,0,0.0244681,0.00851064,0,3150.57,20.3465,0,513.341,408.0,911.0,819.0,902.0,893.0,892.0,572.0,298.0,567.0,25.0349,11.8487,14.4149,12.342,11.8765,12.5116,20.1485,27.5445,20.048,930.0,28170.0,940.0,608.0,143.0,0.0,0.0,0.0,23.0,23.0,8.0,478.0,457.0,940.0,0.0,0.0,44.0,2.21447,93.0,2.68697,6.661339999999999,10872,test_command_results/1_patches_30_cells_500_killed-pop4_10872/data,1,500,N
2076,100000,2315.5,1071.66,2.06793,0,0,137.309,133.842,0,0.010993799999999998,0.00659631,0,3360.99,18.6448,0,1.29175,798.0,1497.0,2043.0,1315.0,2038.0,1908.0,2002.0,662.0,1300.0,8.29646,5.07394,3.33114,4.98391,3.41816,3.83236,3.5278699999999996,10.6039,5.022469999999999,9000.0,67620.0,2274.0,1226.0,458.0,0.0,0.0,0.0,25.0,39.0,15.0,1446.0,976.0,2274.0,0.0,0.0,78.0,3.54054,160.0,2.47395,5.9589300000000005,11073,test_command_results/225_patches_2_cells_100_killed-pop4_11073/data,225,100,N
2169,100000,64663.2,1109.45,58.1147,0,0,128.722,126.70299999999999,0,0.016718900000000002,0.016718900000000002,0,2857.07,53.7933,0,47.13399999999999,277.0,957.0,680.0,957.0,957.0,957.0,662.0,295.0,662.0,24.8852,7.76452,10.3525,7.64388,7.891030000000001,7.70715,10.715,26.2578,10.3989,930.0,28710.0,957.0,3.0,3.0,0.0,0.0,0.0,16.0,18.0,16.0,957.0,480.0,957.0,0.0,0.0,3.0,1.5690899999999999,3.0,2.73866,6.6911,10864,test_command_results/1_patches_30_cells_500_killed_ecology-pop4_10864/data,1,500,Y
2264,100000,2434.23,1052.97,2.2377,0,0,131.957,126.478,0,0.0255262,0.015674,0,3395.77,13.5607,0,1.5554,751.0,1607.0,2003.0,1293.0,2095.0,1737.0,1998.0,691.0,1288.0,9.88011,3.92216,3.40765,5.97666,3.31795,3.9195599999999997,3.46571,9.05655,5.56199,9000.0,65490.0,2233.0,1072.0,316.0,0.0,0.0,0.0,57.0,33.0,35.0,1472.0,1003.0,2233.0,0.0,0.0,73.0,3.6692400000000003,159.0,2.51118,6.02764,9076,test_command_results/100_patches_3_cells_100_killed-pop4_9076/data,100,100,N
2365,100000,3.3922700000000002e+38,9396.92,2.11251e+34,0,0,739.461,652.011,0,0.00113379,0.0,0,1158.36,-22.6294,0,3.939510000000001e+90,652.0,30.0,638.0,60.0,604.0,626.0,43.0,546.0,543.0,160.925,994.9910000000001,161.003,994.7439999999999,163.937,164.042,964.801,164.082,164.102,9000.0,26460.0,882.0,854.0,77.0,0.0,0.0,0.0,1.0,2.0,0.0,303.0,329.0,882.0,0.0,0.0,26.0,1.95397,80.0,1.82614,4.24064,9213,test_command_results/100_patches_3_cells_200_killed-pop1_9213/data,100,200,N
2459,100000,198016000.0,2021.13,79627.7,0,0,339.105,296.907,0,0.0158582,0.0158582,0,1067.81,-1.0428,0,55631.5,910.0,350.0,914.0,863.0,577.0,914.0,527.0,333.0,581.0,12.7407,41.2118,15.4577,16.4663,46.4985,15.597000000000001,19.8662,53.5489,27.0263,9000.0,31680.0,1072.0,187.0,50.0,0.0,0.0,0.0,17.0,9.0,17.0,1064.0,364.0,1072.0,0.0,0.0,8.0,2.39099,25.0,2.2770099999999998,5.56485,9223,test_command_results/100_patches_3_cells_200_killed_ecology-pop2_9223/data,100,200,Y
2560,100000,2441340000.0,1840.73,923915.0,0,0,362.978,324.764,0,0.00797607,0.00797607,0,1086.01,4.59311,0,626004.0,677.0,303.0,677.0,676.0,410.0,677.0,383.0,267.0,410.0,15.5057,43.5109,19.4208,18.211,54.7126,18.5978,32.0539,58.8318,36.383,9000.0,29850.0,1003.0,321.0,41.0,0.0,0.0,0.0,8.0,6.0,8.0,1002.0,477.0,1003.0,0.0,0.0,7.0,2.0764,17.0,1.81814,4.454359999999999,9422,test_command_results/100_patches_3_cells_300_killed_ecology-pop2_9422/data,100,300,Y
2661,100000,9176.01,780.809,11.7494,0,0,108.0,104.12299999999999,0,0.030612200000000003,0.030612200000000003,0,3911.93,-42.9244,0,7.597980000000001,980.0,980.0,649.0,980.0,783.0,331.0,528.0,649.0,649.0,9.0826,8.71904,7.2699300000000004,5.6437800000000005,13.5477,19.7551,10.4686,9.004660000000001,7.82292,930.0,29250.0,980.0,3.0,3.0,0.0,0.0,0.0,30.0,31.0,30.0,980.0,497.0,980.0,0.0,0.0,3.0,1.50985,3.0,2.66716,6.6611899999999995,10544,test_command_results/1_patches_30_cells_300_killed_ecology-pop8_10544/data,1,300,Y
2762,100000,1.3331800000000002e+52,5757.29,2.14097e+48,0,0,949.426,566.821,0,0.00124224,0.0,0,7031.23,101.29799999999999,0,-7.61134e+63,282.0,762.0,775.0,767.0,692.0,756.0,688.0,740.0,751.0,942.071,140.418,141.608,141.519,145.422,159.372,145.82399999999998,145.359,141.244,930.0,24210.0,805.0,753.0,42.0,0.0,0.0,0.0,1.0,3.0,0.0,91.0,424.0,805.0,0.0,0.0,45.0,2.5893,133.0,2.88291,7.7180100000000005,10757,test_command_results/1_patches_30_cells_400_killed-pop8_10757/data,1,400,N
2863,100000,1.16221e+34,9953.29,1.13287e+30,0,0,993.931,985.431,0,0.0,0.0,0,1523.07,54.4066,0,8.50615e+29,0.0,900.0,0.0,900.0,900.0,900.0,900.0,900.0,900.0,769.342,100.803,906.961,105.96600000000001,105.948,106.023,105.93799999999999,100.80799999999999,100.801,930.0,27060.0,900.0,80.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,450.0,900.0,0.0,0.0,1.0,0.0,1.0,2.80735,7.0,10083,test_command_results/1_patches_30_cells_100_killed_ecology-pop5_10083/data,1,100,Y
2964,100000,6.81833e+34,9489.15,6.66568e+30,0,0,949.0160000000001,939.534,0,0.0,0.0,0,1439.07,46.6658,0,2.31557e+30,0.0,889.0,0.0,889.0,889.0,889.0,889.0,889.0,889.0,777.12,98.2124,908.927,106.301,106.281,106.35700000000001,106.271,98.2172,98.2108,930.0,26670.0,889.0,169.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,889.0,0.0,0.0,1.0,0.0,1.0,2.80735,7.0,10288,test_command_results/1_patches_30_cells_200_killed_ecology-pop5_10288/data,1,200,Y
3065,100000,11698700.0,1857.69,5424.05,0,0,178.831,163.194,0,0.00946074,0.00283822,0,2184.31,33.1534,0,3090.83,554.0,469.0,918.0,891.0,406.0,940.0,922.0,872.0,877.0,30.9587,18.0366,14.1065,14.2303,27.9871,13.0697,14.6822,15.4477,15.1886,9000.0,31470.0,1057.0,709.0,245.0,0.0,0.0,0.0,10.0,12.0,3.0,429.0,218.0,1057.0,0.0,0.0,70.0,3.89525,239.0,2.57849,6.47851,9299,test_command_results/100_patches_3_cells_200_killed-pop5_9299/data,100,200,N
3166,100000,7.60362e+34,7604.08,6.75697e+30,0,0,687.444,670.732,0,0.00114416,0.0,0,466.191,-5.15521,0,1.83557e+30,874.0,874.0,874.0,874.0,874.0,874.0,874.0,0.0,874.0,105.538,108.605,105.62899999999999,108.76799999999999,109.215,109.17299999999999,108.76700000000001,994.992,108.811,930.0,26190.0,874.0,192.0,192.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,428.0,874.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,10568,test_command_results/1_patches_30_cells_300_killed_ecology-pop9_10568/data,1,300,Y
3259,100000,2170.77,767.475,2.6877,0,0,117.975,102.46,0,0.027989799999999995,0.017175599999999996,0,5977.77,-15.3531,0,1.8803900000000002,619.0,1072.0,1017.0,660.0,1370.0,1435.0,923.0,984.0,1035.0,14.3653,4.93002,10.2186,9.18366,5.43727,4.866569999999999,9.16855,6.15685,5.45075,9000.0,45900.0,1572.0,717.0,207.0,0.0,0.0,0.0,44.0,36.0,27.0,1025.0,596.0,1572.0,0.0,0.0,83.0,4.45887,371.0,2.37122,5.78609,9358,test_command_results/100_patches_3_cells_200_killed-pop8_9358/data,100,200,N
3360,100000,21257600.0,2105.77,10101.6,0,0,120.84299999999999,115.84299999999999,0,0.0105485,0.0105485,0,1642.69,7.76738,0,6397.81,539.0,611.0,539.0,611.0,337.0,539.0,948.0,409.0,948.0,23.8899,61.8749,90.529,23.3716,38.0175,24.7337,15.2388,34.573,18.798,930.0,28320.0,948.0,3.0,3.0,0.0,0.0,0.0,10.0,7.0,10.0,948.0,463.0,948.0,0.0,0.0,3.0,1.27652,3.0,2.40315,5.78036,10508,test_command_results/1_patches_30_cells_300_killed_ecology-pop6_10508/data,1,300,Y
3461,100000,9372310.0,2143.88,4308.53,0,0,120.978,115.83200000000001,0,0.00479386,0.00287632,0,1415.82,-5.20894,0,3363.36,551.0,571.0,473.0,799.0,682.0,752.0,595.0,361.0,691.0,25.7499,62.9132,28.1266,16.7668,36.5265,17.6566,21.136999999999997,41.676,16.0074,9000.0,31170.0,1043.0,436.0,193.0,0.0,0.0,0.0,5.0,13.0,3.0,776.0,217.0,1043.0,0.0,0.0,67.0,4.145169999999999,174.0,2.22235,5.24345,9315,test_command_results/100_patches_3_cells_200_killed-pop6_9315/data,100,200,N
3562,100000,1720.32,1071.23,1.60449,0,0,126.723,124.70100000000001,0,0.0254885,0.0254885,0,2868.15,1.65907,0,1.0967,687.0,1667.0,2354.0,1616.0,2354.0,2354.0,2354.0,738.0,1616.0,11.1246,3.75052,2.78714,4.969119999999999,3.14361,2.73319,3.08722,8.68328,4.65865,9000.0,68970.0,2354.0,5.0,5.0,0.0,0.0,0.0,60.0,57.0,60.0,2354.0,1105.0,2354.0,0.0,0.0,3.0,1.57246,3.0,2.7377,6.686789999999999,9064,test_command_results/100_patches_3_cells_100_killed_ecology-pop4_9064/data,100,100,Y
3663,100000,537411000.0,1724.2,186300.0,0,0,176.968,171.263,0,0.00573614,0.00286807,0,1796.57,-7.48855,0,-1651620.0,700.0,198.0,598.0,535.0,523.0,689.0,601.0,574.0,580.0,24.3766,60.2691,26.7037,26.4,26.0696,18.757,25.3443,30.5277,19.4317,9000.0,31230.0,1046.0,735.0,235.0,0.0,0.0,0.0,6.0,18.0,3.0,738.0,494.0,1046.0,0.0,0.0,39.0,2.8290599999999997,174.0,1.69744,4.72886,9330,test_command_results/100_patches_3_cells_200_killed-pop7_9330/data,100,200,N
3764,100000,79970500.0,2162.69,36726.2,0,0,121.413,116.611,0,0.00862999,0.00539374,0,1852.91,-2.2656,0,29341.0,879.0,510.0,481.0,519.0,514.0,492.0,715.0,381.0,747.0,18.1778,31.5233,56.2757,30.1173,27.5347,31.0473,21.1697,40.4672,27.644000000000002,930.0,27750.0,927.0,405.0,106.0,0.0,0.0,0.0,8.0,8.0,5.0,649.0,439.0,927.0,0.0,0.0,34.0,2.61709,77.0,2.40515,5.64865,10711,test_command_results/1_patches_30_cells_400_killed-pop6_10711/data,1,400,N
3865,100000,820104.0,1430.32,452.64300000000003,0,0,117.87899999999999,101.725,0,0.012455500000000001,0.00800712,0,4468.43,-82.0586,0,307.814,707.0,1019.0,862.0,806.0,991.0,1018.0,841.0,972.0,1011.0,22.6878,8.81065,11.1733,11.2194,10.507,10.8868,11.3173,10.6799,10.8513,9000.0,33360.0,1124.0,511.0,208.0,0.0,0.0,0.0,14.0,14.0,9.0,773.0,278.0,1124.0,0.0,0.0,99.0,4.42623,250.0,2.7471799999999997,7.30665,9352,test_command_results/100_patches_3_cells_200_killed-pop8_9352/data,100,200,N
3966,100000,12411.3,1198.09,10.3595,0,0,233.891,211.457,0,0.017800999999999997,0.0078534,0,3367.45,5.58528,0,6.9271199999999995,1108.0,1228.0,1206.0,1199.0,1786.0,1868.0,1323.0,1685.0,926.0,7.9211100000000005,6.908919999999999,6.747889999999999,6.754919999999999,4.901730000000001,4.57453,6.47473,4.75044,14.460999999999999,9000.0,56430.0,1910.0,1234.0,331.0,0.0,0.0,0.0,34.0,39.0,15.0,909.0,843.0,1910.0,0.0,0.0,63.0,3.51968,151.0,2.5607900000000003,6.45362,9196,test_command_results/100_patches_3_cells_100_killed-pop10_9196/data,100,100,N
4067,100000,16808600.0,2106.99,7969.89,0,0,120.819,115.819,0,0.00737619,0.00737619,0,1623.12,30.4473,0,7032.25,535.0,583.0,535.0,583.0,366.0,535.0,949.0,414.0,949.0,21.7147,66.2659,95.2222,19.9875,53.4168,21.7197,15.4601,49.8344,14.5162,930.0,28470.0,949.0,4.0,4.0,0.0,0.0,0.0,7.0,8.0,7.0,949.0,454.0,949.0,0.0,0.0,3.0,1.21444,3.0,2.39174,5.74051,10502,test_command_results/1_patches_30_cells_300_killed_ecology-pop6_10502/data,1,300,Y
4168,100000,38022300.0,1825.27,20826.9,0,0,236.953,222.78799999999998,0,0.0115304,0.00524109,0,2200.36,-51.3734,0,13594.4,806.0,535.0,885.0,920.0,876.0,927.0,875.0,878.0,884.0,30.7399,29.2132,15.4286,10.9792,15.3891,8.97869,15.8356,13.9633,14.3999,930.0,28560.0,954.0,672.0,161.0,0.0,0.0,0.0,11.0,10.0,5.0,472.0,469.0,954.0,0.0,0.0,49.0,2.33027,136.0,2.8456,7.95068,10496,test_command_results/1_patches_30_cells_300_killed-pop5_10496/data,1,300,N
4260,100000,1119210.0,1566.05,732.6610000000001,0,0,176.398,169.418,0,0.00682927,0.00682927,0,2095.6,-9.84812,0,418.389,460.0,468.0,213.0,928.0,1025.0,1025.0,928.0,909.0,909.0,19.5645,21.1936,36.1477,10.6032,9.3107,8.53836,9.953669999999999,11.0001,11.3192,930.0,30720.0,1025.0,4.0,4.0,0.0,0.0,0.0,7.0,8.0,7.0,1025.0,510.0,1025.0,0.0,0.0,4.0,1.72298,4.0,2.73611,6.696969999999999,10089,test_command_results/1_patches_30_cells_100_killed_ecology-pop5_10089/data,1,100,Y
4354,100000,2.06368e+61,11229.7,1.6266100000000003e+57,0,0,623.362,471.17,0,0.00113379,0.0,0,2169.85,13.2572,0,4.90445e+62,867.0,858.0,863.0,848.0,860.0,846.0,847.0,837.0,830.0,163.494,161.145,161.12,165.202,161.718,165.2,161.089,161.093,165.22099999999998,930.0,26460.0,882.0,833.0,47.0,0.0,0.0,0.0,1.0,1.0,0.0,86.0,435.0,882.0,0.0,0.0,30.0,0.78351,52.0,3.07038,8.68027,10771,test_command_results/1_patches_30_cells_400_killed-pop9_10771/data,1,400,N
4446,100000,44917.8,1070.89,41.1172,0,0,138.214,133.16899999999998,0,0.013170300000000001,0.00376294,0,3275.26,34.645,0,33.5768,394.0,976.0,814.0,837.0,971.0,979.0,619.0,334.0,612.0,18.2962,7.162489999999999,9.44935,9.10672,7.520169999999999,7.58368,13.2541,17.4013,13.283,930.0,31800.0,1063.0,576.0,193.0,0.0,0.0,0.0,14.0,16.0,4.0,695.0,532.0,1063.0,0.0,0.0,53.0,3.25242,94.0,2.53158,6.14745,10075,test_command_results/1_patches_30_cells_100_killed-pop4_10075/data,1,100,N
4547,100000,1209300.0,1497.8,801.206,0,0,168.475,160.404,0,0.0196281,0.0196281,0,2074.11,-3.4317599999999997,0,544.396,441.0,418.0,216.0,859.0,968.0,968.0,859.0,861.0,861.0,22.7727,25.2314,53.8077,12.7601,9.89218,9.04289,11.1149,13.4443,13.1076,930.0,28890.0,968.0,5.0,5.0,0.0,0.0,0.0,19.0,17.0,19.0,968.0,495.0,968.0,0.0,0.0,4.0,1.7581900000000001,5.0,2.72832,6.66528,10282,test_command_results/1_patches_30_cells_200_killed_ecology-pop5_10282/data,1,200,Y
4648,100000,3248520.0,1746.46,1683.57,0,0,187.671,172.987,0,0.00636364,0.00272727,0,1957.83,-3.99802,0,1111.67,503.0,272.0,889.0,867.0,460.0,931.0,949.0,824.0,839.0,25.5896,52.4474,12.4349,12.6927,24.4406,12.1894,11.6715,15.2509,15.3187,9000.0,32820.0,1100.0,748.0,252.0,0.0,0.0,0.0,7.0,17.0,3.0,381.0,252.0,1100.0,0.0,0.0,78.0,3.8795800000000003,237.0,2.44455,5.92804,9293,test_command_results/100_patches_3_cells_200_killed-pop5_9293/data,100,200,N
4740,100000,3.90555e+33,8969.55,3.47068e+29,0,0,811.623,794.826,0,0.00111235,0.0,0,572.306,8.43872,0,2.37811e+29,899.0,899.0,899.0,899.0,899.0,899.0,899.0,0.0,899.0,106.76700000000001,109.382,106.839,109.52799999999999,110.001,109.955,109.527,994.992,109.572,930.0,27000.0,899.0,203.0,201.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,460.0,899.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,10562,test_command_results/1_patches_30_cells_300_killed_ecology-pop9_10562/data,1,300,Y
