,update,merit,gestation,fitness,repro_rate,dep_size,copied_size,executed_size,dep_abundance,prop_birth,breed_true,dep_depth,generation,neutral,label,true_rep_rate,not,nand,and,orn,or,andn,nor,xor,equ,resnot,resand,resor,resnor,resnand,resorn,resandn,resxor,resequ,safe,inst_executed,popsize,genotypecount,thresholdgenotypes,numspecies,numthresholdspecies,numlineages,numbirths,numdeaths,numbreedtrue,numbreedtrue2,numnobirth,numsinglethreaded,nummultithreaded,nummodified,uniquephenotypetask,shannondiv,uniquephenotypecount,avgshannondiv,avgtaskdiv,seed,condition
164932,100000,5.771090000000002e+78,5017.92,3.4826400000000013e+74,0,0,501.072,440.994,0,0.00114811,0.0,0,706.242,-7.8847,0,2.1546200000000004e+73,349.0,339.0,349.0,342.0,336.0,346.0,225.0,246.0,335.0,210.539,209.142,210.239,210.232,209.144,208.872,208.871,210.121,210.11900000000003,9000.0,26100.0,871.0,839.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,541.0,555.0,871.0,0.0,0.0,21.0,1.89716,70.0,1.20671,3.2916199999999995,9779,killed-pop9
165033,100000,2.67239e+66,4254.53,1.85364e+62,0,0,447.392,409.723,0,0.0011274000000000002,0.0,0,931.57,-26.3105,0,6.142640000000001e+60,339.0,319.0,348.0,337.0,333.0,336.0,292.0,195.0,335.0,156.27100000000004,157.319,156.553,157.941,156.43,157.064,160.44,156.067,156.065,9000.0,26610.0,887.0,840.0,86.0,0.0,0.0,0.0,1.0,1.0,0.0,561.0,570.0,887.0,0.0,0.0,22.0,1.89702,49.0,1.16288,3.19504,9979,killed-pop9
165134,100000,3.48421e+33,8899.15,3.09625e+29,0,0,805.5110000000002,788.836,0,0.0010989,0.0,0,670.72,1.68187,0,1.10902e+29,909.0,909.0,909.0,909.0,909.0,909.0,909.0,0.0,909.0,103.514,106.363,103.604,106.513,106.94,106.9,106.512,994.992,106.555,930.0,27270.0,910.0,184.0,183.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,437.0,910.0,0.0,0.0,2.0,0.0123864,2.0,2.9967,7.9912100000000015,10567,ecology-pop9
165235,100000,22920300.0,1951.84,10633.5,0,0,120.666,115.846,0,0.00411946,0.0030896,0,1452.32,0.756451,0,9308.62,427.0,429.0,411.0,696.0,588.0,596.0,444.0,375.0,614.0,29.1764,62.9531,27.3738,17.3312,30.3722,19.3852,25.4538,38.781,24.1066,9000.0,29010.0,971.0,450.0,204.0,0.0,0.0,0.0,4.0,11.0,3.0,732.0,217.0,971.0,0.0,0.0,54.0,4.03625,143.0,2.01709,4.70937,9711,killed-pop6
165327,100000,26265500.0,1930.74,12104.1,0,0,120.646,116.096,0,0.014568200000000003,0.0114464,0,1440.48,-2.41518,0,6285.91,426.0,410.0,421.0,682.0,567.0,574.0,429.0,372.0,594.0,33.027,47.9376,32.9333,20.9938,35.5443,23.3459,29.0981,44.3448,22.1492,9000.0,28410.0,961.0,436.0,209.0,0.0,0.0,0.0,14.0,6.0,11.0,751.0,210.0,961.0,0.0,0.0,54.0,3.78428,131.0,1.98875,4.64503,9911,killed-pop6
165419,100000,274016000000000.0,2947.25,53977000000.0,0,0,226.759,216.441,0,0.00823893,0.0030896,0,1192.94,9.82615,0,-7.912000000000001e+45,577.0,259.0,502.0,527.0,575.0,580.0,582.0,193.0,379.0,36.761,53.213,42.2208,44.5599,41.5676,33.3812,34.9872,76.2056,62.7098,9000.0,28920.0,971.0,787.0,259.0,0.0,0.0,0.0,8.0,4.0,3.0,578.0,479.0,971.0,0.0,0.0,30.0,2.44084,165.0,1.6604900000000002,4.29029,9250,killed-pop3
165520,100000,97734.2,997.156,100.142,0,0,213.5,200.731,0,0.0177083,0.0177083,0,3042.39,-3.75388,0,84.0172,654.0,960.0,654.0,960.0,654.0,654.0,654.0,960.0,306.0,13.5616,7.6718600000000015,13.3016,7.9325100000000015,14.7481,13.244000000000002,14.5805,7.76688,17.3324,930.0,28740.0,960.0,2.0,2.0,0.0,0.0,0.0,17.0,17.0,17.0,960.0,478.0,960.0,0.0,0.0,2.0,0.902602,2.0,2.68163,6.72651,10984,ecology-pop10
165621,100000,2144650000.0,2484.62,854901.0,0,0,272.416,255.852,0,0.00851064,0.00319149,0,1949.43,27.36,0,523147.0,453.0,451.0,900.0,910.0,869.0,898.0,873.0,872.0,874.0,46.4076,30.0597,20.4789,21.3138,23.1044,18.1271,23.7419,16.9282,16.5715,930.0,28140.0,940.0,728.0,138.0,0.0,0.0,0.0,8.0,7.0,3.0,366.0,472.0,940.0,0.0,0.0,42.0,1.90978,121.0,2.85245,7.55272,10490,killed-pop5
165722,100000,69360.9,1025.72,66.7886,0,0,215.783,198.447,0,0.0158434,0.0158434,0,2813.71,4.11862,0,49.4864,722.0,724.0,669.0,721.0,1049.0,1070.0,725.0,1057.0,346.0,8.77798,8.74814,9.16838,8.11415,6.28078,5.98613,8.70226,6.37546,20.1652,9000.0,31710.0,1073.0,103.0,101.0,0.0,0.0,0.0,17.0,19.0,17.0,1073.0,249.0,1073.0,0.0,0.0,12.0,1.5400200000000002,13.0,2.65181,6.61706,9784,ecology-pop10
165816,100000,178069000.0,2258.88,78961.0,0,0,121.286,116.787,0,0.0193548,0.0139785,0,1920.68,-44.0177,0,44822.3,637.0,647.0,612.0,668.0,849.0,627.0,872.0,260.0,794.0,27.8521,27.7389,74.4905,25.9556,18.0661,28.181,17.7189,55.6037,17.0682,930.0,27750.0,930.0,377.0,105.0,0.0,0.0,0.0,18.0,13.0,13.0,674.0,460.0,930.0,0.0,0.0,37.0,2.40388,73.0,2.52969,6.41505,10717,killed-pop6
165917,100000,125051.0,1012.46,124.241,0,0,215.702,203.356,0,0.00830737,0.00830737,0,3030.62,21.4098,0,76.6185,679.0,963.0,679.0,963.0,679.0,679.0,679.0,963.0,284.0,,,,,,,,,,,28860.0,963.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,8.0,963.0,477.0,963.0,0.0,0.0,,,,,,10580,ecology-pop10
